raw_feature,importance
src_port,18319
duration,14127
src_ip_bytes,4783
dst_port,3597
conn_state,3417
dst_ip_bytes,2876
dst_bytes,2861
src_bytes,2786
dns_query,2617
src_pkts,1709
dst_pkts,1272
service,731
dns_rcode,446
dns_RA,427
dns_qtype,380
proto,377
dns_rejected,343
missed_bytes,289
dns_RD,238
ssl_cipher,102
dns_AA,82
http_status_code,69
dns_qclass,50
weird_name,48
http_resp_mime_types,40
http_response_body_len,34
ssl_version,29
http_version,26
http_trans_depth,21
weird_notice,16
http_user_agent,9
ssl_resumed,6
http_uri,4
ssl_established,1
http_method,1
http_orig_mime_types,0
http_request_body_len,0
ssl_issuer,0
ssl_subject,0
weird_addl,0
