raw_feature,mean_abs_shap
conn_state,1.5942609605310594
src_ip_bytes,1.3091684398414116
dst_port,1.1353476366254787
dst_ip_bytes,1.051323793323319
src_bytes,0.7161308237616472
src_port,0.5843039224168575
service,0.5349999101492677
duration,0.456565137457382
src_pkts,0.3478363846466424
dns_RA,0.3111289548965393
dst_bytes,0.25109102002991973
dst_pkts,0.09271439191817511
dns_query,0.06759993654385842
dns_qtype,0.04318703238817774
dns_rejected,0.02808613269408477
proto,0.015472877964915024
missed_bytes,0.015072274258739873
dns_AA,0.0073805818755301395
dns_RD,0.0047098905285088855
ssl_cipher,0.00027618345763458105
http_response_body_len,7.554534794751074e-05
dns_qclass,0.0
dns_rcode,0.0
http_method,0.0
http_version,0.0
http_user_agent,0.0
http_uri,0.0
http_trans_depth,0.0
http_status_code,0.0
http_resp_mime_types,0.0
http_request_body_len,0.0
http_orig_mime_types,0.0
ssl_established,0.0
ssl_issuer,0.0
ssl_resumed,0.0
ssl_subject,0.0
ssl_version,0.0
weird_addl,0.0
weird_name,0.0
weird_notice,0.0
