feature,importance
src_port__scaled,18319
duration__log1p,14127
src_ip_bytes__log1p,4783
dst_port__scaled,3597
dst_ip_bytes__log1p,2876
dst_bytes__log1p,2861
src_bytes__log1p,2786
dns_query__freq,2617
src_pkts__log1p,1709
dst_pkts__log1p,1272
conn_state_SF,464
dns_rcode__scaled,446
conn_state_REJ,424
conn_state_OTH,418
dns_qtype__scaled,380
conn_state_S1,360
conn_state_S0,342
missed_bytes__log1p,289
proto_tcp,268
dns_RA_T,251
conn_state_RSTR,233
service_MISSING_TOKEN,220
conn_state_S3,206
conn_state_RSTOS0,205
conn_state_RSTO,205
dns_rejected_T,204
conn_state_SH,200
service_http,188
dns_RA_F,176
service_ssl,166
conn_state_SHR,146
dns_rejected_F,139
dns_RD_F,121
conn_state_RSTRH,120
ssl_cipher_MISSING_TOKEN,94
conn_state_S2,94
service_dns,82
dns_AA_F,72
http_status_code__scaled,69
dns_RD_T,59
dns_RD_MISSING_TOKEN,58
service_dce_rpc,56
proto_icmp,55
proto_udp,54
dns_qclass__scaled,50
http_resp_mime_types_text/html,40
http_response_body_len__log1p,34
weird_name_MISSING_TOKEN,33
ssl_version_TLSv12,29
http_version_MISSING_TOKEN,26
http_trans_depth_MISSING_TOKEN,21
service_smb,18
weird_notice_F,16
weird_name_active_connection_reuse,15
dns_AA_T,10
http_user_agent_MISSING_TOKEN,9
ssl_cipher_TLS_AES_128_GCM_SHA256,8
ssl_resumed_T,6
http_uri__freq,4
http_method_GET,1
ssl_established_T,1
service_ftp,1
http_user_agent_Microsoft-Delivery-Optimization/10.0,0
http_user_agent_Microsoft-CryptoAPI/10.0,0
http_user_agent_DataCha0s/2.0,0
http_user_agent_DAFUPnP,0
http_user_agent_Comos/0.9_(robot@xyleme.com),0
http_request_body_len__log1p,0
http_user_agent_Microsoft NCSI,0
http_user_agent_Microsoft BITS/7.8,0
http_user_agent_MICROSOFT_DEVICE_METADATA_RETRIEVAL_CLIENT,0
http_user_agent_Debian APT-HTTP/1.3 (1.7.4),0
http_user_agent_Mozilla/4.08 [en] (WinNT; I ;Nav),0
http_user_agent_Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:49.0) Gecko/20100101 Firefox/49.0,0
weird_name_DNS_RR_unknown_type,0
http_user_agent_sqlmap/1.2#stable (http://sqlmap.org),0
http_user_agent_hacking,0
http_user_agent_Mozilla/1.22 (compatible; MSIE 10.0; Windows 3.1),0
http_user_agent_Windows-Update-Agent/10.0.10011.16384 Client-Protocol/1.91,0
http_user_agent_Mozilla/5.0 (X11; U; Linux i686; de-DE; rv:1.6) Gecko/20040207 Firefox/0.8,0
http_user_agent_Mozilla/5.0 (Windows NT 6.3; rv:36.0) Gecko/20100101 Firefox/36.0,0
http_user_agent_Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/53.0.2785.143 Safari/537.36,0
http_user_agent_Mozilla/5.0 (Windows NT 6.1; rv:21.0) Gecko/20130401 Firefox/21.0,0
http_user_agent_User-Agent: Microsoft-DLNA DLNADOC/1.50,0
http_user_agent_Ruby,0
http_user_agent_Mozilla/5.0 (iPhone; U; CPU iOS 2_0 like Mac OS X; en-us),0
http_user_agent_Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0,0
http_user_agent_Microsoft-WNS/10.0,0
http_user_agent_Microsoft-Windows/10.0 UPnP/1.0 Microsoft-DLNA DLNADOC/1.50,0
http_user_agent_Microsoft-Windows/10.0 UPnP/1.0,0
http_resp_mime_types_text/plain,0
http_resp_mime_types_image/jpeg,0
http_resp_mime_types_image/png,0
http_resp_mime_types_text/json,0
http_resp_mime_types_MISSING_TOKEN,0
http_resp_mime_types_application/ocsp-response,0
http_resp_mime_types_application/vnd.ms-cab-compressed,0
http_resp_mime_types_application/xml,0
http_trans_depth_9,0
http_trans_depth_8,0
http_trans_depth_7,0
http_trans_depth_10,0
http_trans_depth_2,0
http_trans_depth_3,0
http_trans_depth_4,0
http_trans_depth_5,0
weird_name_dnp3_corrupt_header_checksum,0
weird_name_data_before_established,0
weird_name_connection_originator_SYN_ack,0
weird_name_bad_UDP_checksum,0
weird_name_bad_TCP_checksum,0
http_trans_depth_1,0
weird_name_possible_split_routing,0
weird_name_inappropriate_FIN,0
weird_name_above_hole_data_without_any_acks,0
http_user_agent_Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_0) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/53.0.2785.143 Safari/537.36,0
ssl_subject_CN=Mr Shepherd;OU=Security Shepherd Project;O=OWASP;L=Dublin;ST=Ireland;C=IE,0
ssl_subject_CN=*.wns.windows.com,0
ssl_subject_MISSING_TOKEN,0
ssl_subject_CN=*.events.data.microsoft.com;OU=Microsoft;O=Microsoft Corporation;L=Redmond;ST=WA;C=US,0
service_gssapi,0
ssl_subject_CN=settings-win.data.microsoft.com;OU=WSE;O=Microsoft;L=Redmond;ST=WA;C=US,0
ssl_version_TLSv13,0
ssl_version_TLSv10,0
http_method_POST,0
ssl_version_MISSING_TOKEN,0
http_method_MISSING_TOKEN,0
http_method_HEAD,0
ssl_issuer_CN=Mr Shepherd;OU=Security Shepherd Project;O=OWASP;L=Dublin;ST=Ireland;C=IE,0
ssl_issuer_MISSING_TOKEN,0
ssl_cipher_TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,0
ssl_issuer_CN=Microsoft IT TLS CA 5;OU=Microsoft IT;O=Microsoft Corporation;L=Redmond;ST=Washington;C=US,0
ssl_issuer_CN=Microsoft Update Secure Server CA 2.1;O=Microsoft Corporation;L=Redmond;ST=Washington;C=US,0
ssl_issuer_CN=Microsoft Secure Server CA 2011;O=Microsoft Corporation;L=Redmond;ST=Washington;C=US,0
ssl_cipher_TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,0
ssl_subject_CN=sls.update.microsoft.com;OU=DSP;O=Microsoft;L=Redmond;ST=WA;C=US,0
ssl_cipher_TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,0
ssl_cipher_TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,0
service_smb;gssapi,0
ssl_resumed_MISSING_TOKEN,0
dns_RA_MISSING_TOKEN,0
dns_rejected_MISSING_TOKEN,0
dns_AA_MISSING_TOKEN,0
ssl_resumed_F,0
ssl_established_F,0
ssl_established_MISSING_TOKEN,0
http_orig_mime_types_MISSING_TOKEN,0
weird_addl_MISSING_TOKEN,0
weird_addl_48,0
weird_addl_46,0
http_version_1.1,0
http_orig_mime_types_application/xml,0
http_orig_mime_types_application/soap+xml,0
weird_notice_MISSING_TOKEN,0
